,title
372,"""불이야, 얼른 나가요"".. 노부부 다급한 외침, 34명 구했다"
374,경기지역 고교 10일부터 중간고사..첫 내신평가 앞두고 '긴장'
375,"중간고사 시험지 유출 교사 파면은 정당..""근본적인 윤리 의무 저..."
376,새벽 상가 건물 화재..고시원 주인이 대형 참사 막았다
377,"""반갑다 친구야"".. 모처럼 제 모습 찾아가는 광주·전남 대학가"
378,권기자가 만난 사람 제8편 [고병수 탑동365병원 원장]
379,"서일대, 수시1차 실기·면접고사 위한 방역대비 '총력'"
380,관객 감소에도 '기기괴괴 성형수' 10만 돌파 목전 '눈길'
381,'디펜딩 챔피언' 부산대학교의 돋보이는 시즌 준비
382,서강대도 온라인 중간고사 부정행위 발각..전원 무효 처리
383,“학교 믿을 수 없어요”…학교폭력 처리 ‘불만’
384,"'내 꿈은 라이언' 김희철, 마스코트 결과발표 반응에 ""사람이었으..."
385,부산 전교생 등교수업 학교 618곳 중 170곳..지역감염 추이따라 확대
386,"자치분권대학 화성캠퍼스, 30일까지 수강생 모집"
387,"자치분권대학 화성캠퍼스, 수강생 모집"
388,"전체 등교 첫 날 ""함께 공부하게 돼 기뻐"""
389,광주·전남 대학 활기..코로나 주춤 대면수업 확대
390,"[코로나19 언택트인간(3)] 대학은 A학점 40%로 배려하고, 학생들..."
391,"대전대 총학생회, 재학생 위한 마스크 및 손소독제 배부"
392,충북도내 중학교 대부분 중간고사 생략
393,"충북 교원·전문직·임용시험준비생 84.9% ""교원임용고사 개편 필요"""
394,서강대에서도 '온라인 중간고사' 부정행위 적발
395,또 대학가 온라인 중간고사 부정행위..이번에는 건국대
396,군산대학교 아침밥이 1천 원인 이유
397,건국대까지..대학가 온라인 중간고사 부정행위 잇따라 '비상'
398,서강대도 온라인 중간고사 부정행위..시험 무효 처리
399,"'거리두기 1단계' 인한 대면수업 전환..대학생 ""자취방 못 구해"" ..."
400,"부여군 청소년상담복지센터, 등교길 아침 빵과 따뜻한 음료 제공"
401,중학생 중간고사 없이 기말고사만..중등인강 엠베스트로 기말 내...
402,대학가 또 온라인 중간고사 부정행위..이번엔 건국대
403,"반려동물에 대한 모든 것, 연암대학교 동물보호계열"
404,"PC방 가동률 강보합세, 탄력이 필요하다 [위클리]"
405,"부여군, 1388 괜찮아 힘을 내 따뜻한 한잔 속에 담긴 마음"
407,서강대도 온라인 중간고사 부정행위..성적 무효 처리
408,"1388 괜찮아, 힘을 내 따뜻한 한잔 속에 담긴 마음"
409,'33번 확진자 여파' 광주 39개교 원격수업..중간고사도 연기
410,"1388 괜찮아, 힘을 내 따뜻한 한잔 속에 담긴 마음"
411,"진세연, 안경 써도 가려지지 않는 귀여움 '상큼함 물씬' [SNS★컷]"
412,"조희연 ""중학교 중간고사 미실시, 야간자율학습 금지"""
413,서울 중학생 중간고사 미실시..강서·양천 일부 등교 연기
414,2학기도 비대면 시험인데…부정행위 방지 비상 걸린 대학가
415,중원대 간식나눔 소통 이벤트 ‘총장님이 떴다!’ 개최
416,교사가 학생에 기말고사 문제 유출 ‘파문’
